No Label_Name                            R   G   B   A
0   Unknown                                 0   0   0   0
1   Left_Cerebral_Exterior                  70  130 180 0
2   Left_Cerebral_White_Matter              245 245 245 0
3   Left_Cerebral_Cortex                    205 62  78  0
4   Left_Lateral_Ventricle                  120 18  134 0
5   Left_Inf_Lat_Vent                       196 58  250 0
6   Left_Cerebellum_Exterior                0   148 0   0
7   Left_Cerebellum_White_Matter            220 248 164 0
8   Left_Cerebellum_Cortex                  230 148 34  0
9   Left_Thalamus                           0   118 14  0
10  Left_Thalamus_Proper                    0   118 14  0
11  Left_Caudate                            122 186 220 0
12  Left_Putamen                            236 13  176 0
13  Left_Pallidum                           12  48  255 0
14  3rd_Ventricle                           204 182 142 0
15  4th_Ventricle                           42  204 164 0
16  Brain_Stem                              119 159 176 0
17  Left_Hippocampus                        220 216 20  0
18  Left_Amygdala                           103 255 255 0
19  Left_Insula                             80  196 98  0
20  Left_Operculum                          60  58  210 0
21  Line_1                                  60  58  210 0
22  Line_2                                  60  58  210 0
23  Line_3                                  60  58  210 0
24  CSF                                     60  60  60  0
25  Left_Lesion                             255 165 0   0
26  Left_Accumbens_area                     255 165 0   0
27  Left_Substancia_Nigra                   0   255 127 0
28  Left_VentralDC                          165 42  42  0
29  Left_undetermined                       135 206 235 0
30  Left_vessel                             160 32  240 0
31  Left_choroid_plexus                     0   200 200 0
32  Left_F3orb                              100 50  100 0
33  Left_lOg                                135 50  74  0
34  Left_aOg                                122 135 50  0
35  Left_mOg                                51  50  135 0
36  Left_pOg                                74  155 60  0
37  Left_Stellate                           120 62  43  0
38  Left_Porg                               74  155 60  0
39  Left_Aorg                               122 135 50  0
40  Right_Cerebral_Exterior                 70  130 180 0
41  Right_Cerebral_White_Matter             245 245 245 0
42  Right_Cerebral_Cortex                   205 62  78  0
43  Right_Lateral_Ventricle                 120 18  134 0
44  Right_Inf_Lat_Vent                      196 58  250 0
45  Right_Cerebellum_Exterior               0   148 0   0
46  Right_Cerebellum_White_Matter           220 248 164 0
47  Right_Cerebellum_Cortex                 230 148 34  0
48  Right_Thalamus                          0   118 14  0
49  Right_Thalamus_Proper                   0   118 14  0
50  Right_Caudate                           122 186 220 0
51  Right_Putamen                           236 13  176 0
52  Right_Pallidum                          13  48  255 0
